Магазин,Адресс,Категория,Подкатегория,Наименование товара,Цена со скидкой,Цена без скидки,Ссылка на товар
Метро,-,Алкоголь,Водка,Водка Архангельская Северная выдержка 700 мл,-,599.0,https://sbermarket.ru//metro/vodka-arhangel-skaya-severnaya-vyderzhka-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Orthodox 500 мл,-,549.0,https://sbermarket.ru//metro/vodka-orthodox-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Danzka Red 1 л,-,999.0,https://sbermarket.ru//metro/vodka-danzka-red-1-l?sid=1
Метро,-,Алкоголь,Водка,Водка Талка Ледяника 500 мл,419.0,349.0,https://sbermarket.ru//metro/vodka-talka-ledyanika-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Magic Tree Абрикосовая 500 мл,-,989.0,https://sbermarket.ru//metro/vodka-magic-tree-abrikosovaya-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Beluga Noble Russian Vodka 700 мл,-,959.0,https://sbermarket.ru//metro/vodka-beluga-noble-russian-vodka-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Пять Озер 500 мл,383.8,349.0,https://sbermarket.ru//metro/vodka-pyat-ozer-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Schmidt Flavored Сranberry 700 мл,449.0,99.0,https://sbermarket.ru//metro/vodka-schmidt-flavored-sranberry-700-ml-3fe9212?sid=1
Метро,-,Алкоголь,Водка,Водка Tchaikovsky 500 мл,-,799.0,https://sbermarket.ru//metro/vodka-tchaikovsky-500-ml-4aebe83?sid=1
Метро,-,Алкоголь,Водка,Водка Белая Березка 700 мл,703.8,599.0,https://sbermarket.ru//metro/vodka-belaya-berezka-700-ml-2fa2dec?sid=1
Метро,-,Алкоголь,Водка,Водка Mont Blanc 1 л,999.0,379.0,https://sbermarket.ru//metro/vodka-mont-blanc-1-l-05f992c?sid=1
Метро,-,Алкоголь,Водка,Водка Беленькая Клюквенная 500 мл,399.0,329.0,https://sbermarket.ru//metro/vodka-belen-kaya-klyukvennaya-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка A. de Fussigny Summum 700 мл,-,999.0,https://sbermarket.ru//metro/vodka-a-de-fussigny-summum-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Orthodox Old Gold 500 мл,-,799.0,https://sbermarket.ru//metro/vodka-orthodox-old-gold-500-ml-4d8d9cc?sid=1
Метро,-,Алкоголь,Водка,Водка Царская Золотая 500 мл,-,639.0,https://sbermarket.ru//metro/vodka-tsarskaya-zolotaya-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Samogray Белый виноград 500 мл,-,849.0,https://sbermarket.ru//metro/vodka-samogray-belyy-vinograd-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Царская Золотая 1 л,-,199.0,https://sbermarket.ru//metro/vodka-tsarskaya-zolotaya-1-l-d5c17d1?sid=1
Метро,-,Алкоголь,Водка,Водка Organika 500 мл,-,789.0,https://sbermarket.ru//metro/vodka-organika-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Danzka 500 мл,-,209.0,https://sbermarket.ru//metro/vodka-danzka-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Kremlin Award Classic 500 мл,-,869.0,https://sbermarket.ru//metro/vodka-kremlin-award-classic-500-ml-4ab56b8?sid=1
Метро,-,Алкоголь,Водка,Водка Beluga Нобл 1 л,-,229.0,https://sbermarket.ru//metro/vodka-beluga-nobl-1-l-4ae47bc?sid=1
Метро,-,Алкоголь,Водка,Водка Kremlin Award 700 мл,-,379.0,https://sbermarket.ru//metro/vodka-kremlin-award-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Beluga Noble в тубе 700 мл,-,99.0,https://sbermarket.ru//metro/vodka-beluga-noble-v-tube-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Magic Tree Тутовая 500 мл,-,989.0,https://sbermarket.ru//metro/vodka-magic-tree-tutovaya-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Beluga Transatlantic 700 мл,-,959.0,https://sbermarket.ru//metro/vodka-beluga-transatlantic-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Kremlin Award Classic 1 л,-,389.0,https://sbermarket.ru//metro/vodka-kremlin-award-classic-1-l?sid=1
Метро,-,Алкоголь,Водка,Водка Хаски Arctic Ice 500 мл,-,399.0,https://sbermarket.ru//metro/vodka-haski-arctic-ice-500-ml-77388c4?sid=1
Метро,-,Алкоголь,Водка,Водка Зеленая Марка Кедровая 500 мл,409.0,339.0,https://sbermarket.ru//metro/vodka-zelenaya-marka-kedrovaya-500-ml-cea553c?sid=1
Метро,-,Алкоголь,Водка,Водка Белая Березка на бородинском хлебе 500 мл,533.8,429.0,https://sbermarket.ru//metro/vodka-belaya-berezka-na-borodinskom-hlebe-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Orthodox 700 мл,-,759.0,https://sbermarket.ru//metro/vodka-orthodox-700-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Мягков Классик 500 мл,-,369.0,https://sbermarket.ru//metro/vodka-myagkov-klassik-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Солодовая с ржаным солодом 500 мл,-,369.0,https://sbermarket.ru//metro/vodka-solodovaya-s-rzhanym-solodom-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Пять Озер 250 мл,223.8,189.0,https://sbermarket.ru//metro/vodka-pyat-ozer-250-ml-89f3d9e?sid=1
Метро,-,Алкоголь,Водка,Водка Архангельская Северная Выдержка 250 мл,223.8,209.0,https://sbermarket.ru//metro/vodka-arhangel-skaya-severnaya-vyderzhka-250-ml-213cdf2?sid=1
Метро,-,Алкоголь,Водка,Водка Зимняя деревенька 250 мл,219.0,199.0,https://sbermarket.ru//metro/vodka-zimnyaya-dereven-ka-250-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Kremlin Award President 500 мл,-,249.0,https://sbermarket.ru//metro/vodka-kremlin-award-president-500-ml?sid=1
Метро,-,Алкоголь,Водка,Водка Беленькая Классика 1 л,-,899.0,https://sbermarket.ru//metro/vodka-belen-kaya-klassika-1-l?sid=1
